,trips
0,518
5,470
14,353
16,411
20,440
28,400
30,419
36,497
43,585
46,503
50,418
58,564
60,693
68,707
70,723
75,737
83,454
85,431
90,709
98,838
100,907
105,819
112,865
116,254
120,378
127,851
130,885
138,1026
142,854
146,891
152,404
155,359
160,812
168,886
170,856
178,920
181,826
185,409
193,358
195,789
200,834
208,889
210,861
215,830
223,442
225,335
230,829
239,928
240,987
245,976
252,886
255,437
263,284
265,836
271,866
279,878
283,864
286,893
293,345
296,201
301,836
308,871
310,965
315,980
324,936
326,373
329,255
337,981
340,981
347,928
349,1002
354,1013
362,428
364,308
369,838
377,999
379,876
384,973
392,958
394,334
399,275
405,900
408,650
413,534
421,949
424,861
429,317
436,231
437,893
442,838
450,611
453,144
456,266
460,219
467,249
468,784
473,830
481,857
483,806
488,615
493,201
498,195
503,702
508,780
511,767
520,831
521,831
527,308
534,240
535,829
541,871
548,827
550,817
556,749
563,270
565,201
568,526
577,262
578,174
582,332
589,333
592,263
596,196
599,483
607,392
608,213
612,617
620,626
624,261
627,202
633,807
636,826
641,841
649,836
651,848
656,177
662,214
664,886
669,889
677,954
679,947
684,852
693,290
694,207
699,474
707,889
709,917
714,926
721,883
724,315
728,267
733,875
737,896
741,843
749,857
751,726
757,252
762,64
763,821
769,845
776,760
779,426
785,391
786,62
789,54
793,678
801,841
803,871
808,817
816,844
819,294
823,325
829,330
832,840
836,852
844,850
846,798
851,311
859,205
860,876
865,935
873,343
874,750
879,466
884,222
892,137
893,627
901,819
906,833
908,882
916,862
921,350
926,359
927,811
936,955
937,902
945,947
951,866
952,325
961,270
962,848
968,976
975,991
976,952
983,837
986,254
994,223
998,851
999,792
1008,589
1009,891
1017,804
1019,90
1027,235
1031,619
1035,452
1037,866
1045,864
1051,724
1052,315
1061,246
1062,964
1071,1101
1076,935
1079,880
1085,801
1086,280
1093,250
1099,862
1100,955
1109,1014
1110,973
1115,795
1122,253
1128,189
1130,882
1139,912
1141,933
1149,858
1154,509
1155,241
1163,228
1166,968
1172,1024
1179,1033
1182,971
1186,859
1191,194
1193,279
1200,947
1201,964
1210,970
1212,856
1216,854
1223,274
1229,189
1230,998
1238,1033
1242,994
1247,1000
1251,918
1252,287
1260,259
1262,898
1270,948
1275,922
1276,1012
1285,897
1286,209
1293,333
1298,264
1300,1025
1307,1057
1312,986
1316,886
1319,264
1324,230
1328,1081
1336,1094
1342,1041
1343,1018
1351,935
1354,276
1356,298
1364,1081
1369,1019
1370,1084
1379,973
1384,980
1387,268
1394,235
1395,1070
1404,1029
1405,1026
1414,1066
1418,950
1420,223
1428,268
1430,1000
1439,1100
1444,1042
1445,1081
1454,940
1455,336
1463,266
1469,1028
1470,1030
1479,1038
1480,824
1486,208
1493,252
1494,211
1503,1020
1504,1013
1513,1144
1517,1029
1523,911
1528,213
1529,233
1536,1019
1541,1076
1545,1122
1552,1122
1553,938
1562,267
1564,205
1572,991
1577,1124
1578,1100
1587,1097
1589,984
1593,313
1601,321
1602,1076
1611,1108
1613,1057
1617,980
1626,922
1627,256
1635,213
1637,987
1641,1092
1648,1069
1652,1052
1659,926
1664,215
1665,242
1673,989
1678,1133
1679,1032
1688,1002
1690,941
1693,235
1697,239
1705,1051
1706,1067
1713,1112
1715,1148
1722,1022
1728,265
1729,189
1737,1155
1743,1201
1744,1234
1749,1161
1758,1044
1759,338
1766,250
1768,216
1776,1121
1777,1193
1786,1212
1788,1084
1792,278
1800,195
1805,1121
1806,1162
1811,1141
1815,1147
1819,1110
1828,343
1831,257
1837,1282
1838,1236
1845,1185
1852,1022
1856,1053
1857,282
1865,208
1870,1132
1871,1157
1876,1136
1884,1012
1885,1067
1893,294
1897,239
1900,1141
1907,1136
1909,1208
1916,1229
1919,1031
1922,278
1931,181
1932,1007
1941,1117
1942,1212
1946,1122
1955,1088
1958,386
1964,303
1969,1088
1971,1289
1976,1169
1979,1285
1988,1082
1991,317
1997,265
1998,1093
2003,1247
2012,1155
2017,1197
2018,1210
2025,290
2026,274
2031,1217
2040,1185
2041,1289
2049,1224
2051,728
2058,292
2065,256
2070,1166
2071,1162
2080,1193
2083,1210
2087,1128
2091,312
2097,249
2098,1139
2102,1077
2109,1188
2116,981
2121,1066
2124,261
2127,190
2132,1158
2140,1147
2141,792
2149,784
2150,1065
2155,260
2163,172
2166,1111
2169,1026
2173,679
2177,81
2182,220
2186,220
2188,101
2191,1025
2197,438
2199,745
2205,1006
2209,868
2211,312
2215,206
2218,1166
2221,1153
2226,1173
2230,92
2232,538
2235,261
2241,204
2243,547
2248,639
2253,709
2254,1010
2260,475
2264,252
2265,140
2272,866
2276,681
2277,262
2283,95
2286,247
2288,142
2289,148
2295,539
2300,432
2301,313
