,trips,total_docks,year,month,weekday,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,wind_dir_degrees,Fog,Fog-Rain,Normal,Rain,Rain-Thunderstorm,weekend
2,10,91,2013,8,3,80.0,70.0,64.0,65.0,61.0,58.0,83.0,72.0,55.0,30.04,30.04,29.94,10.0,10.0,10.0,16.0,5.0,16.0,0.0,4.0,355.0,0,0,1,0,0,0
7,18,91,2013,8,4,87.0,72.0,63.0,66.0,61.0,57.0,84.0,68.0,47.0,30.03,30.02,29.9,10.0,10.0,10.0,15.0,2.0,18.0,0.0,2.0,5.0,0,0,1,0,0,0
10,22,91,2013,8,5,78.0,68.0,59.0,62.0,58.0,52.0,83.0,70.0,55.0,29.97,29.97,29.88,10.0,10.0,10.0,14.0,2.0,20.0,0.0,0.0,353.0,0,0,1,0,0,1
17,14,91,2013,9,6,81.0,70.0,61.0,62.0,58.0,54.0,80.0,67.0,47.0,29.94,29.95,29.85,10.0,10.0,10.0,14.0,4.0,16.0,0.0,1.0,354.0,0,0,1,0,0,1
22,9,91,2013,9,0,80.0,71.0,66.0,64.0,61.0,58.0,80.0,70.0,58.0,29.95,29.95,29.86,10.0,10.0,10.0,14.0,4.0,19.0,0.0,5.0,337.0,0,0,1,0,0,0
27,10,91,2013,9,1,81.0,69.0,58.0,60.0,56.0,52.0,82.0,65.0,44.0,29.99,29.99,29.93,10.0,10.0,10.0,19.0,2.0,20.0,1.71,6.0,341.0,0,0,0,1,0,0
32,10,91,2013,9,2,82.0,68.0,56.0,61.0,55.0,49.0,81.0,64.0,43.0,30.04,30.02,29.94,10.0,10.0,10.0,15.0,0.0,20.0,0.0,0.0,324.0,0,0,1,0,0,0
37,7,91,2013,9,3,81.0,68.0,56.0,59.0,54.0,50.0,81.0,63.0,41.0,30.02,30.02,29.95,10.0,10.0,10.0,16.0,1.0,114.0,0.0,0.0,335.0,0,0,1,0,0,0
42,9,91,2013,9,4,90.0,71.0,54.0,62.0,54.0,47.0,80.0,57.0,31.0,29.99,29.93,29.79,10.0,10.0,10.0,8.0,0.0,8.0,0.0,0.0,350.0,0,0,1,0,0,0
48,16,91,2013,9,5,95.0,74.0,58.0,64.0,55.0,48.0,71.0,55.0,26.0,29.87,29.86,29.77,10.0,10.0,10.0,0.0,0.0,13.0,0.0,0.0,337.0,0,0,1,0,0,1
