,total_docks,year,month,weekday,max_temperature_f_x,mean_temperature_f_x,min_temperature_f_x,max_dew_point_f_x,mean_dew_point_f_x,min_dew_point_f_x,max_humidity_x,mean_humidity_x,min_humidity_x,max_sea_level_pressure_inches_x,mean_sea_level_pressure_inches_x,min_sea_level_pressure_inches_x,max_visibility_miles_x,mean_visibility_miles_x,min_visibility_miles_x,max_wind_Speed_mph_x,mean_wind_speed_mph_x,max_gust_speed_mph_x,precipitation_inches_x,cloud_cover_x,wind_dir_degrees_x,Fog_x,Fog-Rain_x,Normal_x,Rain_x,Rain-Thunderstorm_x,weekend,max_temperature_f_y,mean_temperature_f_y,min_temperature_f_y,max_dew_point_f_y,mean_dew_point_f_y,min_dew_point_f_y,max_humidity_y,mean_humidity_y,min_humidity_y,max_sea_level_pressure_inches_y,mean_sea_level_pressure_inches_y,min_sea_level_pressure_inches_y,max_visibility_miles_y,mean_visibility_miles_y,min_visibility_miles_y,max_wind_Speed_mph_y,mean_wind_speed_mph_y,max_gust_speed_mph_y,precipitation_inches_y,cloud_cover_y,wind_dir_degrees_y,Fog_y,Fog-Rain_y,Normal_y,Rain_y,Rain-Thunderstorm_y,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,wind_dir_degrees,Fog,Fog-Rain,Normal,Rain,Rain-Thunderstorm
3,100,2013,8,3,80.0,71.0,62.0,63.0,59.0,57.0,94.0,79.0,48.0,30.07,30.02,29.97,10.0,10.0,10.0,14.0,6.0,17.0,0.0,5.0,313.0,0,0,1,0,0,0,80.0,71.0,62.0,63.0,59.0,57.0,94.0,79.0,48.0,30.07,30.02,29.97,10.0,10.0,10.0,14.0,6.0,17.0,0.0,5.0,313.0,0,0,1,0,0,80.0,71.0,62.0,63.0,59.0,57.0,94.0,79.0,48.0,30.07,30.02,29.97,10.0,10.0,10.0,14.0,6.0,17.0,0.0,5.0,313.0,0,0,1,0,0
8,100,2013,8,4,86.0,74.0,62.0,64.0,59.0,54.0,94.0,73.0,35.0,30.08,30.01,29.93,10.0,10.0,10.0,15.0,2.0,17.0,0.0,2.0,292.0,0,0,1,0,0,0,86.0,74.0,62.0,64.0,59.0,54.0,94.0,73.0,35.0,30.08,30.01,29.93,10.0,10.0,10.0,15.0,2.0,17.0,0.0,2.0,292.0,0,0,1,0,0,86.0,74.0,62.0,64.0,59.0,54.0,94.0,73.0,35.0,30.08,30.01,29.93,10.0,10.0,10.0,15.0,2.0,17.0,0.0,2.0,292.0,0,0,1,0,0
12,100,2013,8,5,77.0,68.0,59.0,59.0,56.0,55.0,88.0,72.0,50.0,30.0,29.96,29.92,10.0,10.0,10.0,13.0,4.0,16.0,0.0,1.0,324.0,0,0,1,0,0,1,77.0,68.0,59.0,59.0,56.0,55.0,88.0,72.0,50.0,30.0,29.96,29.92,10.0,10.0,10.0,13.0,4.0,16.0,0.0,1.0,324.0,0,0,1,0,0,77.0,68.0,59.0,59.0,56.0,55.0,88.0,72.0,50.0,30.0,29.96,29.92,10.0,10.0,10.0,13.0,4.0,16.0,0.0,1.0,324.0,0,0,1,0,0
15,100,2013,9,6,80.0,71.0,62.0,61.0,57.0,55.0,82.0,72.0,42.0,29.97,29.94,29.89,10.0,10.0,10.0,13.0,5.0,17.0,0.0,3.0,294.0,0,0,1,0,0,1,80.0,71.0,62.0,61.0,57.0,55.0,82.0,72.0,42.0,29.97,29.94,29.89,10.0,10.0,10.0,13.0,5.0,17.0,0.0,3.0,294.0,0,0,1,0,0,80.0,71.0,62.0,61.0,57.0,55.0,82.0,72.0,42.0,29.97,29.94,29.89,10.0,10.0,10.0,13.0,5.0,17.0,0.0,3.0,294.0,0,0,1,0,0
23,100,2013,9,0,77.0,70.0,64.0,64.0,61.0,57.0,88.0,79.0,57.0,29.98,29.94,29.9,10.0,10.0,10.0,13.0,6.0,17.0,0.0,4.0,291.0,0,0,1,0,0,0,77.0,70.0,64.0,64.0,61.0,57.0,88.0,79.0,57.0,29.98,29.94,29.9,10.0,10.0,10.0,13.0,6.0,17.0,0.0,4.0,291.0,0,0,1,0,0,77.0,70.0,64.0,64.0,61.0,57.0,88.0,79.0,57.0,29.98,29.94,29.9,10.0,10.0,10.0,13.0,6.0,17.0,0.0,4.0,291.0,0,0,1,0,0
25,100,2013,9,1,77.0,68.0,59.0,59.0,55.0,48.0,83.0,71.0,36.0,30.02,29.98,29.96,10.0,10.0,10.0,16.0,5.0,20.0,0.0,0.0,284.0,0,0,1,0,0,0,77.0,68.0,59.0,59.0,55.0,48.0,83.0,71.0,36.0,30.02,29.98,29.96,10.0,10.0,10.0,16.0,5.0,20.0,0.0,0.0,284.0,0,0,1,0,0,77.0,68.0,59.0,59.0,55.0,48.0,83.0,71.0,36.0,30.02,29.98,29.96,10.0,10.0,10.0,16.0,5.0,20.0,0.0,0.0,284.0,0,0,1,0,0
33,100,2013,9,2,75.0,68.0,60.0,57.0,56.0,50.0,82.0,73.0,41.0,30.05,30.01,29.98,10.0,10.0,10.0,17.0,6.0,23.0,0.0,1.0,277.0,0,0,1,0,0,0,75.0,68.0,60.0,57.0,56.0,50.0,82.0,73.0,41.0,30.05,30.01,29.98,10.0,10.0,10.0,17.0,6.0,23.0,0.0,1.0,277.0,0,0,1,0,0,75.0,68.0,60.0,57.0,56.0,50.0,82.0,73.0,41.0,30.05,30.01,29.98,10.0,10.0,10.0,17.0,6.0,23.0,0.0,1.0,277.0,0,0,1,0,0
38,100,2013,9,3,75.0,68.0,62.0,57.0,55.0,50.0,82.0,70.0,41.0,30.03,30.0,29.98,10.0,10.0,10.0,21.0,8.0,25.0,0.0,3.0,279.0,0,0,1,0,0,0,75.0,68.0,62.0,57.0,55.0,50.0,82.0,70.0,41.0,30.03,30.0,29.98,10.0,10.0,10.0,21.0,8.0,25.0,0.0,3.0,279.0,0,0,1,0,0,75.0,68.0,62.0,57.0,55.0,50.0,82.0,70.0,41.0,30.03,30.0,29.98,10.0,10.0,10.0,21.0,8.0,25.0,0.0,3.0,279.0,0,0,1,0,0
40,100,2013,9,4,89.0,73.0,57.0,59.0,51.0,45.0,88.0,60.0,24.0,30.01,29.94,29.83,10.0,10.0,10.0,10.0,1.0,13.0,0.0,0.0,295.0,0,0,1,0,0,0,89.0,73.0,57.0,59.0,51.0,45.0,88.0,60.0,24.0,30.01,29.94,29.83,10.0,10.0,10.0,10.0,1.0,13.0,0.0,0.0,295.0,0,0,1,0,0,89.0,73.0,57.0,59.0,51.0,45.0,88.0,60.0,24.0,30.01,29.94,29.83,10.0,10.0,10.0,10.0,1.0,13.0,0.0,0.0,295.0,0,0,1,0,0
45,100,2013,9,5,91.0,78.0,64.0,61.0,52.0,46.0,77.0,55.0,23.0,29.89,29.85,29.8,10.0,10.0,10.0,12.0,3.0,14.0,0.0,0.0,327.0,0,0,1,0,0,1,91.0,78.0,64.0,61.0,52.0,46.0,77.0,55.0,23.0,29.89,29.85,29.8,10.0,10.0,10.0,12.0,3.0,14.0,0.0,0.0,327.0,0,0,1,0,0,91.0,78.0,64.0,61.0,52.0,46.0,77.0,55.0,23.0,29.89,29.85,29.8,10.0,10.0,10.0,12.0,3.0,14.0,0.0,0.0,327.0,0,0,1,0,0
