,date,city,trips,total_docks,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,wind_dir_degrees,Fog,Fog-Rain,Normal,Rain,Rain-Thunderstorm,weekend
0,8/29/2013,San Francisco,518,650,74,68,61,61,58,56,93,75,57,30.07,30.02,29.97,10,10,10,23,11,28,0,4,286,0,0,1,0,0,FALSE
1,8/29/2013,San Jose,58,234,81,72,63,62,61,59,87,69,51,30.06,30.02,29.96,10,10,10,16,7,24,0,4,320,0,0,1,0,0,FALSE
2,8/29/2013,Mountain View,10,91,80,70,64,65,61,58,83,72,55,30.04,30.04,29.94,10,10,10,16,5,16,0,4,355,0,0,1,0,0,FALSE
3,8/29/2013,Redwood City,9,100,80,71,62,63,59,57,94,79,48,30.07,30.02,29.97,10,10,10,14,6,17,0,5,313,0,0,1,0,0,FALSE
4,8/29/2013,Palo Alto,19,75,78,71,64,62,61,60,87,71,54,30.08,30.04,29.99,10,10,10,20,8,23,0,4,355,0,0,1,0,0,FALSE
5,8/30/2013,San Francisco,470,650,78,69,60,61,58,56,90,70,50,30.05,30,29.93,10,10,7,29,13,35,0,2,291,0,0,1,0,0,FALSE
6,8/30/2013,San Jose,59,234,88,76,63,63,60,55,93,65,37,30.05,30.01,29.93,10,10,10,18,5,22,0,2,316,0,0,1,0,0,FALSE
7,8/30/2013,Mountain View,18,91,87,72,63,66,61,57,84,68,47,30.03,30.02,29.9,10,10,10,15,2,18,0,2,5,0,0,1,0,0,FALSE
8,8/30/2013,Redwood City,9,100,86,74,62,64,59,54,94,73,35,30.08,30.01,29.93,10,10,10,15,2,17,0,2,292,0,0,1,0,0,FALSE
9,8/30/2013,Palo Alto,9,75,84,74,64,63,61,57,93,68,43,30.06,30.02,29.94,10,10,10,20,6,23,0,2,5,0,0,1,0,0,FALSE
10,8/31/2013,Mountain View,22,91,78,68,59,62,58,52,83,70,55,29.97,29.97,29.88,10,10,10,14,2,20,0,0,353,0,0,1,0,0,TRUE
11,8/31/2013,San Jose,24,234,80,71,62,59,57,54,90,66,42,29.99,29.95,29.91,10,10,10,18,8,22,0,0,309,0,0,1,0,0,TRUE
12,8/31/2013,Redwood City,5,100,77,68,59,59,56,55,88,72,50,30,29.96,29.92,10,10,10,13,4,16,0,1,324,0,0,1,0,0,TRUE
13,8/31/2013,Palo Alto,16,75,76,69,62,61,59,57,87,71,54,30.01,29.97,29.92,10,10,10,21,8,25,0,0,353,0,0,1,0,0,TRUE
14,8/31/2013,San Francisco,353,650,71,64,57,57,56,54,93,75,57,30,29.96,29.92,10,10,10,26,15,31,0,4,284,0,0,1,0,0,TRUE
15,9/1/2013,Redwood City,4,100,80,71,62,61,57,55,82,72,42,29.97,29.94,29.89,10,10,10,13,5,17,0,3,294,0,0,1,0,0,TRUE
16,9/1/2013,San Francisco,411,650,74,66,58,60,56,53,87,68,49,29.96,29.93,29.91,10,10,10,25,13,29,0,4,284,0,0,1,0,0,TRUE
